	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
366	{76802: 7}	{113255: 7}														
367	{55826: 7}	{70996: 7}														
368	{32934: 7}	{55826: 7}	{70996: 7}													
369	{70996: 15}															
370	{7364: 28}	{55826: 28}	{70996: 28}													
371	{76802: 5}	{113255: 5}														
372	{76802: 5}	{113255: 5}														
373	{76802: 5}	{113255: 5}														
374	{76802: 5}	{113255: 5}														
375	{76802: 5}	{113255: 5}														
376	{76802: 5}	{113255: 5}														
377	{76802: 5}	{113255: 5}														
378	{76802: 5}	{113255: 5}														
379	{76802: 5}	{113255: 5}														
380	{76802: 5}	{113255: 5}														
381	{55826: 5}	{70996: 5}														
382	{55826: 5}	{70996: 5}														
383	{55826: 5}	{70996: 5}														
384	{55826: 5}	{70996: 5}														
385	{55826: 5}	{70996: 5}														
386	{55826: 5}	{70996: 5}														
387	{55826: 5}	{70996: 5}														
388	{55826: 5}	{70996: 5}														
389	{55826: 5}	{70996: 5}														
390	{55826: 5}	{70996: 5}														
391	{70996: 15}															
392	{10716: 5}	{32934: 5}	{50093: 5}	{55826: 5}	{70996: 5}	{106244: 5}										
393	{55826: 7}															
394	{76802: 21}															
395	{7364: 14}															
396	{113255: 14}															
397	{55826: 14}															
398	{76802: 21}															
399	{55826: 14}															
400	{7364: 7}															
401	{7364: 7}															
402	{76802: 7}															
403	{7364: 28}															
404	{113255: 28}															
405	{55826: 21}															
406	{70996: 28}															
407	{7364: 7}	{55826: 21}	{76802: 14}													
408	{55826: 24}															
409	{70996: 15}															
410	{70996: 15}															
411	{11162: 7}	{74858: 7}														
412	{70996: 14}															
413	{70996: 2}															
414	{74858: 14}															
415	{18289: 7}	{44275: 7}														
416	{44275: 7}															
417	{70996: 12}															
418	{7364: 12}															
419	{70996: 18}															
420	{55826: 18}	{70996: 6}														
421	{7364: 14}															
422	{7364: 14}	{55826: 21}														
423	{7364: 28}															
424	{7364: 14}															
425	{7364: 12}	{70996: 12}														
426	{55826: 10}	{70996: 5}														
427	{55826: 20}	{70996: 10}														
428	{76802: 7}	{113255: 7}														
429	{76802: 7}	{113255: 7}														
430	{76802: 7}	{113255: 7}														
431	{76802: 7}	{113255: 7}														
432	{76802: 7}	{113255: 7}														
433	{76802: 7}	{113255: 7}														
434	{76802: 7}	{113255: 7}														
435	{76802: 7}	{113255: 7}														
436	{76802: 7}	{113255: 7}														
437	{76802: 7}	{113255: 7}														
438	{76802: 7}	{113255: 7}														
439	{55826: 7}	{70996: 7}														
440	{55826: 7}	{70996: 7}														
441	{55826: 7}	{70996: 7}														
442	{55826: 7}	{70996: 7}														
443	{55826: 7}	{70996: 7}														
444	{55826: 7}	{70996: 7}														
445	{55826: 7}	{70996: 7}														
446	{55826: 7}	{70996: 7}														
447	{55826: 7}	{70996: 7}														
448	{55826: 7}	{70996: 7}														
449	{10716: 14}	{18289: 28}	{32934: 28}	{44275: 7}	{46684: 14}	{55826: 14}	{70996: 7}	{106244: 28}	{113255: 7}							
450	{873: 14}	{4460: 14}	{7364: 21}	{8172: 21}	{11162: 7}	{50093: 7}	{52624: 14}	{55915: 14}	{74858: 7}	{76802: 21}	{113255: 14}	{116936: 28}				
451																
452																
453	{55826: 18}															
454	{7364: 5}	{55826: 15}														
455	{70996: 15}															
456	{55826: 7}	{70996: 7}														
457	{7364: 6}	{70996: 18}														
458	{7364: 12}	{55826: 12}														
459	{55826: 7}	{70996: 7}														
460	{76802: 7}	{113255: 7}														
461	{76802: 7}	{113255: 7}														
462	{76802: 7}	{113255: 7}														
463	{76802: 7}	{113255: 7}														
464	{76802: 7}	{113255: 7}														
465	{76802: 7}	{113255: 7}														
466	{76802: 7}	{113255: 7}														
467	{55826: 7}	{70996: 7}														
468	{19075: 21}	{74864: 21}	{78678: 21}													
469	{14663: 7}															
470	{8113: 7}															
471	{76802: 7}															
472	{7364: 21}	{55826: 21}	{70996: 21}													
473	{70996: 14}															
474	{7364: 21}	{55826: 21}	{70996: 21}													
475	{873: 14}	{5608: 14}														
476	{7558: 7}															
477	{873: 14}	{74858: 7}														
478	{4460: 14}															
479	{70997: 21}															
480	{70997: 28}															
481	{76802: 28}	{113255: 28}														
482	{76802: 28}	{113255: 28}														
483	{76802: 28}	{113255: 28}														
484	{7364: 28}	{55826: 28}	{70996: 28}													
485	{76802: 28}	{113255: 28}														
486	{76802: 28}	{113255: 28}														
487	{76802: 28}	{113255: 28}														
488	{76802: 7}	{113255: 7}														
489	{55826: 7}	{70996: 7}														
490	{76802: 7}	{113255: 7}														
491	{55826: 7}	{70996: 7}														
492	{55826: 28}	{70996: 28}														
493	{76802: 7}	{113255: 7}														
494	{7364: 14}															
495	{873: 7}	{7558: 7}														
496	{7364: 14}															
497	{4460: 7}	{7364: 7}														
498	{873: 14}	{4460: 14}														
499	{4460: 14}	{70997: 7}														
500	{873: 14}	{7558: 7}														
501	{873: 4}															
502	{7558: 28}															
503	{7364: 7}															
504	{873: 7}	{7364: 7}	{7558: 7}													
505	{7558: 14}															
506	{873: 14}	{70997: 14}														
507	{4460: 14}	{7364: 7}	{70997: 7}													
508	{7558: 7}															
509	{873: 7}	{70997: 7}														
510	{4460: 14}															
511	{7558: 14}	{70997: 14}														
512	{55826: 21}															
513	{7364: 21}	{55826: 28}	{70996: 21}													
514	{7364: 7}	{55826: 28}	{70996: 14}													
515	{7364: 14}	{55826: 28}	{70996: 14}													
516	{7364: 14}	{55826: 21}	{70996: 14}													
517	{7364: 14}	{55826: 28}	{70996: 14}													
518	{7364: 14}	{55826: 14}	{70996: 14}													
519	{7364: 14}	{70996: 28}														
520	{7364: 2}	{55826: 2}	{70996: 2}													
521	{7364: 2}	{70996: 4}														
522	{7364: 28}															
523	{55826: 28}															
524	{70996: 14}	{113255: 28}														
525	{76802: 7}	{113255: 7}														
526	{76802: 12}	{113255: 12}														
527	{76802: 24}	{113255: 24}														
528	{76802: 24}	{113255: 24}														
529	{873: 14}	{7558: 7}														
530	{7364: 14}	{55826: 28}	{70996: 21}													
531	{7364: 14}	{55826: 21}	{70996: 21}													
532	{4460: 14}	{7364: 14}														
533	{873: 7}	{7558: 7}														
534	{7364: 14}															
535	{70997: 21}															
536	{873: 14}	{4460: 14}														
537	{7364: 14}															
538	{7364: 14}															
539	{7558: 7}															
540	{873: 14}	{7364: 14}														
541	{7558: 28}															
542	{55826: 7}	{70996: 7}														
543	{873: 4}															
544	{70997: 28}															
545	{873: 7}	{7364: 7}	{7558: 7}													
546	{7364: 7}															
547	{7558: 14}															
548	{7558: 7}															
549	{7364: 14}	{7558: 7}														
550	{7558: 7}															
551	{873: 14}	{70997: 14}														
552	{873: 7}	{70997: 7}														
553	{4460: 14}															
554	{7558: 14}	{70997: 14}														
555	{55826: 7}	{70996: 7}														
556	{55826: 7}	{70996: 7}														
557	{70996: 28}															
558	{7364: 14}															
559	{55826: 28}															
560	{55826: 28}															
561	{55826: 35}															
562	{70996: 14}															
563	{55826: 14}															
564	{7364: 28}															
565	{113255: 28}															
566	{7364: 28}															
567	{55826: 28}	{70996: 28}	{113255: 28}													
568	{55826: 28}	{70996: 28}	{76802: 28}													
569	{70996: 28}															
570	{76802: 28}															
571	{76802: 28}															
572	{7364: 28}	{55826: 28}	{70996: 28}													
573	{70996: 28}															
574	{70996: 28}															
